,Cargo_100,Cargo_101,Cargo_102,Cargo_103,mean,std
3814,4.0,,,,4.0,0.0
3823,28.0,,,,28.0,0.0
3825,26.0,,,,26.0,0.0
3829,22.0,22.0,,,22.0,0.0
3833,19.0,,,,19.0,0.0
3844,6.0,,,22.0,14.0,8.0
3845,5.0,,21.0,,13.0,8.0
3861,17.0,,,,17.0,0.0
3870,7.0,,,,7.0,0.0
3885,19.0,,,,19.0,0.0
3897,25.0,,4.0,,14.5,10.5
3898,24.0,25.0,,,24.5,0.5
3904,17.0,,,,17.0,0.0
