,db_100,db_101,db_102,db_103
630,6.0,4.0,2.0,3.0
631,5.0,3.0,1.0,1.0
632,5.0,3.0,0.0,1.0
633,4.0,3.0,0.0,2.0
634,3.0,3.0,0.0,2.0
635,3.0,3.0,0.0,2.0
636,3.0,3.0,0.0,3.0
637,1.0,3.0,0.0,2.0
638,1.0,3.0,0.0,1.0
639,2.0,3.0,2.0,0.0
640,1.0,2.0,2.0,0.0
641,1.0,3.0,0.0,0.0
642,1.0,3.0,0.0,1.0
643,1.0,3.0,1.0,1.0
644,1.0,3.0,1.0,1.0
645,1.0,3.0,1.0,2.0
646,1.0,4.0,2.0,2.0
647,1.0,4.0,2.0,2.0
648,1.0,4.0,2.0,3.0
649,2.0,4.0,2.0,4.0
650,2.0,4.0,3.0,5.0
651,3.0,5.0,3.0,5.0
652,3.0,6.0,3.0,6.0
653,3.0,6.0,4.0,6.0
654,3.0,6.0,4.0,6.0
655,2.0,3.0,2.0,5.0
656,2.0,3.0,2.0,5.0
657,2.0,3.0,2.0,5.0
658,2.0,3.0,2.0,5.0
659,2.0,3.0,2.0,4.0
660,2.0,4.0,1.0,5.0
661,1.0,2.0,0.0,3.0
662,0.0,1.0,0.0,4.0
663,0.0,1.0,0.0,3.0
664,1.0,1.0,0.0,2.0
665,1.0,0.0,0.0,3.0
666,1.0,0.0,0.0,2.0
667,1.0,0.0,0.0,2.0
668,1.0,0.0,0.0,2.0
669,1.0,0.0,0.0,2.0
670,1.0,0.0,0.0,2.0
671,1.0,0.0,0.0,2.0
672,1.0,0.0,0.0,2.0
673,1.0,0.0,0.0,2.0
674,2.0,0.0,0.0,2.0
675,2.0,0.0,0.0,2.0
676,2.0,0.0,0.0,2.0
677,2.0,0.0,1.0,2.0
678,2.0,0.0,1.0,2.0
679,1.0,0.0,2.0,1.0
680,0.0,0.0,2.0,0.0
681,1.0,0.0,1.0,1.0
682,1.0,0.0,1.0,1.0
683,1.0,0.0,1.0,2.0
684,2.0,0.0,1.0,1.0
685,3.0,1.0,2.0,1.0
686,3.0,1.0,2.0,1.0
687,1.0,0.0,2.0,1.0
688,1.0,0.0,0.0,0.0
689,2.0,0.0,0.0,1.0
690,1.0,0.0,0.0,1.0
691,1.0,0.0,1.0,1.0
692,1.0,0.0,1.0,1.0
693,1.0,0.0,1.0,1.0
694,2.0,0.0,1.0,1.0
695,2.0,0.0,1.0,1.0
696,2.0,0.0,1.0,1.0
697,3.0,1.0,1.0,2.0
698,3.0,1.0,1.0,4.0
699,4.0,2.0,1.0,5.0
700,5.0,2.0,2.0,5.0
701,5.0,2.0,2.0,5.0
702,6.0,2.0,3.0,5.0
703,5.0,1.0,4.0,5.0
704,4.0,1.0,3.0,4.0
705,5.0,2.0,3.0,4.0
706,5.0,2.0,3.0,4.0
707,5.0,2.0,1.0,4.0
708,4.0,2.0,0.0,4.0
709,4.0,1.0,0.0,4.0
710,4.0,1.0,0.0,4.0
711,3.0,0.0,0.0,2.0
712,2.0,0.0,1.0,1.0
713,3.0,1.0,1.0,0.0
714,2.0,1.0,0.0,0.0
715,2.0,1.0,0.0,0.0
716,2.0,1.0,0.0,0.0
717,2.0,1.0,0.0,1.0
718,2.0,1.0,0.0,1.0
719,3.0,1.0,1.0,1.0
720,3.0,1.0,1.0,1.0
721,3.0,1.0,2.0,1.0
722,3.0,1.0,2.0,1.0
723,3.0,2.0,2.0,1.0
724,3.0,3.0,2.0,1.0
725,4.0,5.0,2.0,2.0
726,4.0,5.0,3.0,2.0
727,2.0,5.0,3.0,2.0
728,3.0,5.0,2.0,2.0
729,2.0,4.0,2.0,1.0
730,2.0,4.0,2.0,1.0
731,3.0,4.0,2.0,1.0
732,3.0,4.0,2.0,2.0
733,3.0,4.0,2.0,2.0
734,2.0,5.0,2.0,1.0
735,1.0,3.0,1.0,2.0
